"resource"	"collection"	"process"	"actor"	"obj"	"sub"	"date"	"value"	"unit"	"value_type"	"reference"	"source"	"description"
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2	"kgCO2/kg"	"EC"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"303be8f4-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2	"MJ/kg"	"EE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303226fc-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.01	"kgCO2e/kg"	"ECe"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.03	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302c8eae-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.03	"kgCO2e/kg"	"ECe"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.03	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.03	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303a2550-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.04	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303088ce-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.06	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3034454a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.08	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302a5b2a-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.1	"MJ/kg"	"FE"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3034f648-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.12	"kgCO2e/kg"	"ECe"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
"30350ee4-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.12	"GWP/m^2"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"303ecc72-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	2.12	"kgCO2e/kg"	"ECe"	300	"Non-EU"	"Inventory of Carbon and Energy (ICE)"
