nep.pk	nep.name	nep.description	nep.shortname	neps.pk	nep.pparent	nep.pchild	nem.pk	nem.name	nem.description	nem.shortname	nem.mparent	nem.mchild	ner.pk	ner.name	ner.shortname	ner.rtype	necol.pk	necol.collection_id	necol.resource	necol.name	neproc.pk	neproc.name	neproc.desc	nepio.pk	nepio.process	nepio.arg_pk	nepio.arg_type
2276546	Post-Combustion Carbon Capture and Storage		Post-Combustion CCS		11348051	2276546	384456	Copper Tube			149	384456															
6706002	Pre-Combustion Carbon Capture and Storage		Pre-Combustion CCS		11348051	6706002	388379	Glass-reinforced Plastic			289	388379															
9454232	Oxyfuel-Combustion Carbon Capture and Storage		Oxyfuel-Combustion CCS		11348051	9454232	388814	Rubber Carpet			249	388814															
4444850	Combustion Generators				1106725	4444850	393793	Nylon Carpet			243	393793															
1372208	Fossil Fuel Generators				4444850	1372208	393793	Natural Perlite			287	393793															
8267996	Coal Generators				1372208	8267996	393793	Gypsum Plaster			288	393793															
16033304	Oil Generators				1372208	16033304	405537	Felt Carpet			243	405537															
5904611	Biofuel Generators				4444850	5904611	409043	Ground Limestone			277	409043															
2974066	Natural Gas Generators				1372208	2974066	409179	Stainless Steel			297	409179															
4891888	Hydroelectric Generator				1106725	4891888	409588	CEM I			251	409588															
							412056	Monocrystalline Silicon			282	412056															
							413560	Silicon Photovoltaics		Si-PV	374066	413560															
							415512	32/40MPa			254	415512															
							415859	Particle Board			258	415859															
							415984	40/50MPa			254	415984															
							418185	Polystyrene			289	418185															
							423324	Sandstone			298	423324															
							424974	UPVC			289	424974															
							425508	Thin Film Photovoltaics		TF PV	374066	425508															
							428735	Mineral Wool			275	428735															
							429261	Woodwool			275	429261															
							429466	25/30MPa			254	429466															
							430859	Secondary Glass			271	430859															
							432499	Granite			298	432499															
							436672	Steel Section			297	436672															
							439123	Crystalline Solid			500	439123															
							472231	Chalcogenide Photovoltaics			374066	472231															
