"pk"	"name"	"description"	"short_name"
"30468502-7f8e-11e3-bc66-f07bcb4eb64e"	"Parabolic Dish Solar Thermal"		"PD SP"
"3046938a-7f8e-11e3-bc66-f07bcb4eb64e"	"Parabolic Dish Photovoltaics"		"PD PV"
"3046a410-7f8e-11e3-bc66-f07bcb4eb64e"	"Fresnel Trough Solar Thermal"		
"3046b324-7f8e-11e3-bc66-f07bcb4eb64e"	"Fresnel Trough Photovoltaics"		
"3046c1ac-7f8e-11e3-bc66-f07bcb4eb64e"	"Luminescent Solar Concentrators"	"Solar concentrators that absorb light and re-emit it in a different spectrum"	"LSC"
"3046d656-7f8e-11e3-bc66-f07bcb4eb64e"	"Dye-Sensitized Photovoltaics"	"""Dye-sensitized solar cells separate the two functions provided by silicon in a traditional cell design. Normally the silicon acts as both the source of photoelectrons, as well as providing the electric field to separate the charges and create a current. In the dye-sensitized solar cell,  the bulk of the semiconductor is used solely for charge transport, the photoelectrons are provided from a separate photosensitive dye. Charge separation occurs at the surfaces between the dye, semiconductor and electrolyte."""	"DSSC"
"3046e5a6-7f8e-11e3-bc66-f07bcb4eb64e"	"Gallium Arsenide Germanium Photovoltaics"		"GAPV"
"3046f8d4-7f8e-11e3-bc66-f07bcb4eb64e"	"Plasmonic Photovoltaics"	"""Plasmonic solar cells (PSC) are a class of photovoltaic devices that convert light into electricity by using plasmons. PSCs are a type of thin-film SC which are typically 1-2μm thick. They can use substrates which are cheaper than silicon"	"PPV"
"30470888-7f8e-11e3-bc66-f07bcb4eb64e"	"Quantum Dot Photovoltaics"		
"30471954-7f8e-11e3-bc66-f07bcb4eb64e"	"Solar Cell"		
"30472872-7f8e-11e3-bc66-f07bcb4eb64e"	"Polymer Solar Cell"		
"30473736-7f8e-11e3-bc66-f07bcb4eb64e"	"Multijunction Solar Cell"		
"304747c6-7f8e-11e3-bc66-f07bcb4eb64e"	"Wind Energy"		
"3047566c-7f8e-11e3-bc66-f07bcb4eb64e"	"Mechanical Energy"		
"30476aee-7f8e-11e3-bc66-f07bcb4eb64e"	"Wind Generator"		
"30477bba-7f8e-11e3-bc66-f07bcb4eb64e"	"Onshore Wind Generator"		
"30478f06-7f8e-11e3-bc66-f07bcb4eb64e"	"Offshore Wind Generator"		
"30479f50-7f8e-11e3-bc66-f07bcb4eb64e"	"Direct-Drive Wind Generator"		"DDW"
"3047b04e-7f8e-11e3-bc66-f07bcb4eb64e"	"High-Temperature Superconductor"		"HTS"
"3047bfa8-7f8e-11e3-bc66-f07bcb4eb64e"	"High-Temperature Superconductor Wind Generator"		"HTS"
"3047ce62-7f8e-11e3-bc66-f07bcb4eb64e"	"Permanent Magnet"		"PM"
"3047dee8-7f8e-11e3-bc66-f07bcb4eb64e"	"Permanent Magnet Wind Generator"		"PM"
"3047ee06-7f8e-11e3-bc66-f07bcb4eb64e"	"Nuclear Reactors"		
"3047ffae-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen II Nuclear Reactors"		
"3048112e-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen III Nuclear Reactors"		
"3048204c-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen III+ Nuclear Reactors"		
"304833e8-7f8e-11e3-bc66-f07bcb4eb64e"	"Gen IV Nuclear Reactors"		
