"nesi.pk"	"nesi.resource"	"nesi.valuetype"	"nesi.value"	"nesi.unit"	"nesi.location"	"nesi.with_property"	"nesi.reference"	"nesi.infotype"
236	54358	"EC"	2.06	"kgCO_2/kg"	"World"			
237	54358	"ECe"	1.66	"kgCO2e/kg"	"European Union"			
238	54358	"ECe"	3.27	"kgCO2e/kg"	"European Union"			
239	54358	"ECe"	2.31	"kgCO2e/kg"	"Non-EU"			
240	54358	"ECe"	2.21	"kgCO2e/kg"	"World"			
241	138036	"EE"	19.8	"MJ/kg"	"European Union"			
242	138036	"EE"	34.6	"MJ/kg"	"European Union"			
243	138036	"EE"	25.8	"MJ/kg"	"Non-EU"			
244	138036	"EE"	24.9	"MJ/kg"	"World"			
245	138036	"EC"	1.37	"kgCO_2/kg"	"European Union"			
246	138036	"EC"	2.71	"kgCO_2/kg"	"European Union"			
247	138036	"EC"	1.9	"kgCO_2/kg"	"Non-EU"			
248	138036	"EC"	1.83	"kgCO_2/kg"	"World"			
249	138036	"ECe"	1.45	"kgCO2e/kg"	"European Union"			
250	138036	"ECe"	2.87	"kgCO2e/kg"	"European Union"			
251	138036	"ECe"	2.01	"kgCO2e/kg"	"Non-EU"			
252	138036	"ECe"	1.94	"kgCO2e/kg"	"World"			
253	146269	"EE"	36.4	"MJ/kg"				
254	146269	"EC"	1.93	"kgCO_2/kg"				
255	146269	"ECe"		"kgCO_2e/kg"				
256	146843	"EE"	70	"MJ/kg"				
257	146843	"EC"	2.76	"kgCO_2/kg"				
258	146843	"ECe"		"kgCO_2e/kg"				
259	146843	"FE"	18	"MJ/kg"				
260	161426	"EE"	16.8	"MJ/kg"				
261	161426	"EC"	1.05	"kgCO_2/kg"				
262	161426	"ECe"	1.12	"kgCO_2e/kg"				
263	163683	"EE"	76.7	"MJ/kg"				
264	163683	"EC"	1.57	"kgCO_2/kg"				
265	163683	"ECe"	1.93	"kgCO_2e/kg"				
266	163683	"FE"	54.3	"MJ/kg"				
267	164571	"EE"	1.03	"MJ/kg"				
268	164571	"EC"	0.145	"kgCO_2/kg"				
269	164571	"ECe"	0.155	"kgCO_2e/kg"				
270	170234	"EE"	0.82	"MJ/kg"				
271	170234	"EC"	0.112	"kgCO_2/kg"				
272	170234	"ECe"	0.12	"kgCO_2e/kg"				
273	176864	"EE"	1.11	"MJ/kg"				
274	176864	"EC"	0.163	"kgCO_2/kg"				
275	176864	"ECe"	0.174	"kgCO_2e/kg"				
276	181274	"EE"	0.74	"MJ/kg"				
277	181274	"EC"	0.1	"kgCO_2/kg"				
278	181274	"ECe"	0.107	"kgCO_2e/kg"				
279	182567	"EE"	101.5	"MJ/kg"				
280	182567	"EC"	3.48	"kgCO_2/kg"				
281	182567	"ECe"	4.26	"kgCO_2e/kg"				
282	182567	"FE"	37.07	"MJ/kg"				
283	185431	"EE"	5.9	"MJ_{bio}"			150	
284	185431	"EC"	0.42	"KgCO_{2"	"fossil}/kg"		150	
285	185431	"EC"	0.54	"kgCO_{2"	"bio}/kg"		150	
286	185431	"ECe"	0.45	"KgCO_{2e"	"fossil}/kg"		150	
287	185431	"ECe"	0.54	"KgCO_{2e"	"fossil}/kg"		150	
288	185431	"EE"	15	"MJ_{fossil}/kg"			150	
289	188262	"EE"	130	"MJ/m^2"			277	
290	188262	"EE"	180	"MJ/m^2"			277	
291	188262	"EE"	230	"MJ/m^2"			277	
292	188262	"ECe"		"kgCO_2e/kg"			279	
293	188262	"ECe"		"kgCO_2e/kg"			279	
294	188262	"ECe"		"kgCO_2e/kg"			279	
295	188262	"EE"	0.72	"MJ/kg"			114	
296	188262	"EC"	0.03	"kgCO_2/kg"			114	
297	188262	"ECe"		"kgCO_2e/kg"			114	
298	188373	"EE"	78.1	"MJ/kg"				
299	188373	"EC"	1.69	"kgCO_2/kg"				
300	188373	"ECe"	2.08	"kgCO_2e/kg"				
301	188373	"FE"	51.6	"MJ/kg"				
302	190870	"EE"	17.4	"MJ/kg"	"European Union"			
303	190870	"EE"	29.2	"MJ/kg"	"European Union"			
304	190870	"EE"	9.4	"MJ/kg"	"European Union"			
305	190870	"EE"	22.3	"MJ/kg"	"Non-EU"			
306	190870	"EE"	21.6	"MJ/kg"	"World"			
307	190870	"EC"	1.31	"kgCO_2/kg"	"European Union"			
308	190870	"EC"	2.59	"kgCO_2/kg"	"European Union"			
309	190870	"EC"	0.44	"kgCO_2/kg"	"European Union"			
310	190870	"EC"	1.82	"kgCO_2/kg"	"Non-EU"			
311	190870	"EC"	1.74	"kgCO_2/kg"	"World"			
312	190870	"ECe"	1.4	"kgCO2e/kg"	"European Union"			
313	190870	"ECe"	2.77	"kgCO2e/kg"	"European Union"			
314	190870	"ECe"	0.47	"kgCO2e/kg"	"European Union"			
315	190870	"ECe"	1.95	"kgCO2e/kg"	"Non-EU"			
316	190870	"ECe"	1.86	"kgCO2e/kg"	"World"			
317	195046	"EE"	112.9	"MJ/kg"				
318	195046	"EC"	6.03	"kgCO_2/kg"				
319	195046	"ECe"	7.62	"kgCO_2e/kg"				
